"treat","quran","votenahda","stress","relrev","age","female","own","inc","edu","urb","marriage","unemp","stud","enum","enumfemale","room","sharia","pray","votenidaa","votejabha","voteirada","votepoor","votegoods","voteAllah","voteAllah2","voteAllah3","voteAllahrank","voteAllahrank3"
1,1,1,1,5,30,1,1,NA,5,1,0,1,0,"8",1,"3",3.25,3,0,0,0,NA,1,4,1,1,6,1
1,1,1,1,3,56,0,1,7,1,1,1,0,0,"8",1,"3",3,1,0,0,0,1,3,3,1,0,4,0
1,1,1,1,2,32,0,0,10,5,0,0,0,1,"8",1,"3",2.75,1,0,0,0,3,3,1,0,0,0,NA
0,1,1,1,5,52,0,0,8,3,1,1,0,0,"8",1,"3",4,4,0,0,0,4,4,1,0,0,0,NA
0,1,0,1,5,21,1,2,10,4,1,0,0,1,"8",1,"3",1.25,1,1,0,0,1,3,1,0,0,0,NA
0,1,0,1,5,54,0,0,4,1,1,1,0,0,"8",1,"3",NA,3,1,0,0,4,4,NA,NA,NA,NA,NA
1,1,0,1,5,49,0,1,10,3,1,1,0,0,"5",1,"3",3.25,4,0,0,1,4,4,4,1,1,1,0
1,1,0,1,3,55,0,1,4,3,1,1,0,0,"5",1,"3",2.75,5,0,0,0,NA,NA,NA,NA,NA,NA,NA
0,1,0,1,1,30,0,2,7,4,0,0,0,0,"5",1,"3",2.25,3,1,0,0,2,3,3,1,0,5,1
1,1,0,1,1,24,1,1,8,5,1,0,0,1,"5",1,"3",2.25,2,0,0,1,3,3,1,0,0,0,NA
1,1,0,2,5,38,0,1,8,3,1,1,0,0,"5",1,"3",4,4,0,0,0,3,3,3,1,0,5,1
1,1,0,2,2,23,1,2,10,4,1,0,0,0,"11",1,"2",3,3,1,0,0,3,3,1,0,0,0,NA
0,1,0,4,NA,31,0,1,8,4,1,0,1,0,"6",1,"3",NA,3,0,0,1,NA,NA,NA,NA,NA,NA,NA
0,1,0,2,3,37,0,0,5,1,1,0,0,0,"6",1,"3",1,1,1,0,0,4,3,4,1,1,3,0
1,1,0,2,3,52,1,1,3,1,0,1,1,0,"6",1,"2",2.25,5,1,0,0,3,4,NA,NA,NA,NA,NA
1,1,0,2,2,27,0,1,2,6,0,0,1,0,"6",1,"2",1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA
1,1,0,1,2,52,0,0,4,3,1,1,1,0,"6",1,"2",2.25,3,1,0,0,2,4,3,1,0,4,0
0,1,0,2,1,47,0,0,5,3,1,1,0,0,"6",1,"2",1,1,1,0,0,2,3,1,0,0,0,NA
0,1,0,2,5,32,0,1,8,3,0,0,1,0,"6",1,"2",3.5,1,0,0,1,NA,NA,NA,NA,NA,NA,NA
